table,file,rows,columns,column_list
bridge_account_customers,bridge_account_customers.csv,15545,5,"account_customer_id, account_id, customer_id, ownership_role, ownership_percent"
dim_branches,dim_branches.csv,226,11,"branch_id, branch_code, institution_id, geo_id, branch_name, city, province, postal_code, branch_type, open_date, is_active"
dim_campaigns,dim_campaigns.csv,6,8,"campaign_id, campaign_name, campaign_type, target_product_family, start_date, end_date, budget_amount, campaign_description"
dim_customers,dim_customers.csv,7000,18,"customer_id, customer_number, first_name, last_name, email, phone_last4, birth_year, age_2025, customer_segment, income_band, employment_status, geo_id, province, city, postal_code, signup_date, onboarding_channel, is_active"
dim_date,dim_date.csv,1096,11,"date_key, calendar_date, year, quarter, month, month_name, week_of_year, day_of_week, is_weekend, month_start_date, month_end_date"
dim_geography,dim_geography.csv,27,7,"geo_id, province, province_name, city, postal_prefix, metro_area, region"
dim_institutions,dim_institutions.csv,6,10,"institution_id, institution_code, institution_name, institution_group, institution_type, is_big5, is_dsib, is_active, headquarters_city, headquarters_province"
dim_interest_rates,dim_interest_rates.csv,7,6,"rate_id, rate_code, rate_name, annual_rate, effective_start_date, effective_end_date"
dim_products,dim_products.csv,15,10,"product_id, product_code, product_name, product_family, product_category, currency, monthly_fee, minimum_balance, base_rate, is_credit_product"
dim_tax_rates,dim_tax_rates.csv,14,6,"tax_rate_id, province, province_name, total_tax_rate, effective_start_date, effective_end_date"
fact_accounts,fact_accounts.csv,14362,13,"account_id, account_number, customer_id, institution_id, branch_id, product_id, open_date, close_date, account_status, currency, credit_limit, original_principal, is_joint_account"
fact_branch_monthly_targets,fact_branch_monthly_targets.csv,5424,9,"target_id, branch_id, institution_id, date_key, month_end_date, deposit_balance_target, loan_originations_target, new_accounts_target, service_sla_target"
fact_campaign_contacts,fact_campaign_contacts.csv,10800,10,"contact_id, campaign_id, customer_id, contact_date, contact_channel, opened_flag, clicked_flag, converted_flag, estimated_revenue, test_group"
fact_card_statements,fact_card_statements.csv,43470,16,"statement_id, account_id, customer_id, institution_id, branch_id, date_key, statement_date, credit_limit, statement_balance, purchase_amount, payment_amount, interest_charged, fee_charged, minimum_payment_due, days_past_due, utilization_rate"
fact_customer_risk_history,fact_customer_risk_history.csv,8419,10,"risk_history_id, customer_id, credit_score_band, credit_score, risk_segment, income_band, employment_status, effective_start_date, effective_end_date, is_current"
fact_fraud_alerts,fact_fraud_alerts.csv,1800,12,"fraud_alert_id, transaction_id, account_id, customer_id, institution_id, branch_id, alert_date, alert_type, severity, confirmed_fraud_flag, estimated_loss_amount, resolution_status"
fact_fx_rates,fact_fx_rates.csv,2192,6,"fx_rate_id, date_key, rate_date, from_currency, to_currency, exchange_rate"
fact_loan_payments,fact_loan_payments.csv,29246,14,"loan_payment_id, loan_id, account_id, customer_id, institution_id, date_key, due_date, paid_date, amount_due, amount_paid, days_late, principal_component, interest_component, payment_status"
fact_loans,fact_loans.csv,1702,13,"loan_id, account_id, customer_id, institution_id, branch_id, product_id, origination_date, close_date, original_principal, annual_interest_rate, term_months, scheduled_monthly_payment, loan_status"
fact_monthly_account_balances,fact_monthly_account_balances.csv,296775,12,"balance_id, account_id, customer_id, institution_id, branch_id, product_id, date_key, month_end_date, ending_balance, interest_amount, fee_amount, currency"
fact_service_requests,fact_service_requests.csv,6500,14,"service_request_id, service_request_number, customer_id, account_id, institution_id, branch_id, created_date, request_type, priority, sla_target_hours, resolution_hours, sla_breached_flag, request_status, request_channel"
fact_transactions,fact_transactions.csv,70000,15,"transaction_id, transaction_reference, account_id, customer_id, institution_id, branch_id, product_id, date_key, transaction_date, transaction_type, merchant_category, amount, currency, channel, transaction_status"
