account_customer_id,account_id,customer_id,ownership_role,ownership_percent
1,1,1,Primary,1.0
2,1,3693,Joint,0.5
3,2,1,Primary,1.0
4,3,2,Primary,1.0
5,4,2,Primary,1.0
6,5,3,Primary,1.0
7,6,3,Primary,1.0
8,7,3,Primary,1.0
9,8,4,Primary,1.0
10,9,4,Primary,1.0
11,10,5,Primary,1.0
12,11,6,Primary,1.0
13,12,6,Primary,1.0
14,13,7,Primary,1.0
15,14,7,Primary,1.0
16,15,7,Primary,1.0
17,16,8,Primary,1.0
18,17,8,Primary,1.0
19,18,8,Primary,1.0
20,19,9,Primary,1.0
21,20,9,Primary,1.0
22,21,9,Primary,1.0
23,22,10,Primary,1.0
24,23,11,Primary,1.0
25,24,11,Primary,1.0
26,25,11,Primary,1.0
27,26,11,Primary,1.0
28,27,12,Primary,1.0
29,28,12,Primary,1.0
30,29,13,Primary,1.0
31,30,13,Primary,1.0
32,31,14,Primary,1.0
33,32,14,Primary,1.0
34,33,14,Primary,1.0
35,34,15,Primary,1.0
36,35,16,Primary,1.0
37,36,16,Primary,1.0
38,37,16,Primary,1.0
39,38,17,Primary,1.0
40,39,17,Primary,1.0
41,40,18,Primary,1.0
42,41,18,Primary,1.0
43,42,19,Primary,1.0
44,43,19,Primary,1.0
45,44,20,Primary,1.0
46,44,2897,Joint,0.5
47,45,21,Primary,1.0
48,46,22,Primary,1.0
49,47,22,Primary,1.0
50,48,23,Primary,1.0
51,49,23,Primary,1.0
52,50,24,Primary,1.0
53,51,25,Primary,1.0
54,52,25,Primary,1.0
55,53,25,Primary,1.0
56,54,26,Primary,1.0
57,55,26,Primary,1.0
58,56,26,Primary,1.0
59,56,6155,Joint,0.5
60,57,27,Primary,1.0
61,58,28,Primary,1.0
62,58,1398,Joint,0.5
63,59,28,Primary,1.0
64,60,28,Primary,1.0
65,61,29,Primary,1.0
66,62,29,Primary,1.0
67,63,29,Primary,1.0
68,64,29,Primary,1.0
69,65,30,Primary,1.0
70,66,31,Primary,1.0
71,67,31,Primary,1.0
72,68,31,Primary,1.0
73,69,32,Primary,1.0
74,70,32,Primary,1.0
75,71,32,Primary,1.0
76,72,33,Primary,1.0
77,73,33,Primary,1.0
78,74,33,Primary,1.0
79,75,33,Primary,1.0
80,76,34,Primary,1.0
81,77,34,Primary,1.0
82,78,34,Primary,1.0
83,79,34,Primary,1.0
84,80,35,Primary,1.0
85,81,35,Primary,1.0
86,82,35,Primary,1.0
87,83,36,Primary,1.0
88,84,36,Primary,1.0
89,85,37,Primary,1.0
90,86,37,Primary,1.0
91,86,848,Joint,0.5
92,87,38,Primary,1.0
93,88,38,Primary,1.0
94,89,39,Primary,1.0
95,90,39,Primary,1.0
96,90,1349,Joint,0.5
97,91,40,Primary,1.0
98,92,40,Primary,1.0
99,93,40,Primary,1.0
100,94,41,Primary,1.0
101,95,41,Primary,1.0
102,96,42,Primary,1.0
103,97,43,Primary,1.0
104,98,43,Primary,1.0
105,99,44,Primary,1.0
106,100,45,Primary,1.0
107,101,46,Primary,1.0
108,101,5916,Joint,0.5
109,102,46,Primary,1.0
110,103,47,Primary,1.0
111,104,48,Primary,1.0
112,105,48,Primary,1.0
113,106,48,Primary,1.0
114,106,2899,Joint,0.5
115,107,49,Primary,1.0
116,108,49,Primary,1.0
117,109,49,Primary,1.0
118,110,50,Primary,1.0
119,110,4215,Joint,0.5
120,111,51,Primary,1.0
121,112,51,Primary,1.0
122,113,52,Primary,1.0
123,114,53,Primary,1.0
124,115,53,Primary,1.0
125,116,54,Primary,1.0
126,117,54,Primary,1.0
127,117,2002,Joint,0.5
128,118,54,Primary,1.0
129,119,55,Primary,1.0
130,120,56,Primary,1.0
131,121,56,Primary,1.0
132,122,56,Primary,1.0
133,123,57,Primary,1.0
134,124,57,Primary,1.0
135,125,57,Primary,1.0
136,126,58,Primary,1.0
137,127,58,Primary,1.0
138,128,58,Primary,1.0
139,129,59,Primary,1.0
140,130,59,Primary,1.0
141,131,59,Primary,1.0
142,131,5301,Joint,0.5
143,132,60,Primary,1.0
144,133,61,Primary,1.0
145,134,62,Primary,1.0
146,134,1587,Joint,0.5
147,135,62,Primary,1.0
148,136,63,Primary,1.0
149,137,63,Primary,1.0
150,138,64,Primary,1.0
151,139,64,Primary,1.0
152,140,64,Primary,1.0
153,141,65,Primary,1.0
154,141,2864,Joint,0.5
155,142,65,Primary,1.0
156,143,66,Primary,1.0
157,144,66,Primary,1.0
158,145,66,Primary,1.0
159,146,67,Primary,1.0
160,147,68,Primary,1.0
161,148,68,Primary,1.0
162,149,69,Primary,1.0
163,150,70,Primary,1.0
164,150,3645,Joint,0.5
165,151,70,Primary,1.0
