target_id,branch_id,institution_id,date_key,month_end_date,deposit_balance_target,loan_originations_target,new_accounts_target,service_sla_target
1,1,1,20240131,2024-01-31,2578417.17,1567825.99,40,0.88
2,1,1,20240229,2024-02-29,912096.81,1119541.53,64,0.88
3,1,1,20240331,2024-03-31,2732313.91,1515247.15,24,0.88
4,1,1,20240430,2024-04-30,2523244.77,486021.96,32,0.88
5,1,1,20240531,2024-05-31,2307949.69,1855135.77,24,0.88
6,1,1,20240630,2024-06-30,1753077.25,1079669.94,31,0.88
7,1,1,20240731,2024-07-31,1479116.61,1388133.98,37,0.88
8,1,1,20240831,2024-08-31,2639925.41,1442974.94,38,0.88
9,1,1,20240930,2024-09-30,2406395.37,1362704.02,70,0.88
10,1,1,20241031,2024-10-31,3849416.31,1296348.77,46,0.88
11,1,1,20241130,2024-11-30,3551604.05,1351514.92,52,0.88
12,1,1,20241231,2024-12-31,2636731.11,1046371.75,46,0.88
13,1,1,20250131,2025-01-31,2080107.42,1326935.26,41,0.88
14,1,1,20250228,2025-02-28,3750488.77,1344773.64,47,0.88
15,1,1,20250331,2025-03-31,2076848.11,1210919.98,32,0.88
16,1,1,20250430,2025-04-30,1195990.69,1104447.96,29,0.88
17,1,1,20250531,2025-05-31,2428669.08,1176366.63,56,0.88
18,1,1,20250630,2025-06-30,2271708.76,862813.63,44,0.88
19,1,1,20250731,2025-07-31,2279139.13,657917.26,23,0.88
20,1,1,20250831,2025-08-31,1561617.2,1305265.54,91,0.88
21,1,1,20250930,2025-09-30,3523824.23,1402402.05,52,0.88
22,1,1,20251031,2025-10-31,1977800.56,888450.79,42,0.88
23,1,1,20251130,2025-11-30,2928338.76,1084557.17,60,0.88
24,1,1,20251231,2025-12-31,2467832.39,1196119.63,51,0.88
25,2,1,20240131,2024-01-31,2211098.91,1018265.3,54,0.88
26,2,1,20240229,2024-02-29,2140124.31,1583002.05,54,0.88
27,2,1,20240331,2024-03-31,2711730.47,1186655.83,58,0.88
28,2,1,20240430,2024-04-30,1851073.85,1218410.9,27,0.88
29,2,1,20240531,2024-05-31,2843261.8,1251312.46,70,0.88
30,2,1,20240630,2024-06-30,3600949.67,1283171.06,37,0.88
31,2,1,20240731,2024-07-31,4392075.76,879911.52,53,0.88
32,2,1,20240831,2024-08-31,2919381.65,1675340.61,56,0.88
33,2,1,20240930,2024-09-30,1981385.12,1219713.98,39,0.88
34,2,1,20241031,2024-10-31,2247649.08,566876.69,24,0.88
35,2,1,20241130,2024-11-30,2476914.36,1945683.28,33,0.88
36,2,1,20241231,2024-12-31,2259683.24,741386.15,47,0.88
