contact_id,campaign_id,customer_id,contact_date,contact_channel,opened_flag,clicked_flag,converted_flag,estimated_revenue,test_group
1,1,567,2024-05-15,Email,False,False,False,0.0,Targeted
2,1,4948,2024-04-22,Mobile Push,False,False,False,0.0,Targeted
3,1,4754,2024-04-18,SMS,True,False,False,0.0,Targeted
4,1,2061,2024-05-31,Email,True,False,False,0.0,Targeted
5,1,5213,2024-04-03,Email,True,False,False,0.0,Targeted
6,1,5318,2024-03-06,Advisor Call,True,False,False,0.0,Targeted
7,1,1349,2024-04-05,SMS,False,False,False,0.0,Targeted
8,1,4698,2024-04-20,Direct Mail,False,False,False,0.0,Targeted
9,1,2948,2024-04-21,Advisor Call,True,True,False,0.0,Targeted
10,1,2439,2024-04-08,Email,False,False,False,0.0,Targeted
11,1,2674,2024-05-05,Email,True,False,False,0.0,Targeted
12,1,1587,2024-03-23,Mobile Push,True,False,False,0.0,Targeted
13,1,2480,2024-05-26,SMS,False,False,False,0.0,Targeted
14,1,703,2024-04-01,SMS,True,False,False,0.0,Targeted
15,1,2540,2024-04-23,Email,True,True,False,0.0,Control
16,1,5719,2024-05-19,SMS,True,False,False,0.0,Targeted
17,1,4171,2024-03-17,Mobile Push,False,False,False,0.0,Targeted
18,1,5679,2024-05-06,SMS,True,False,False,0.0,Targeted
19,1,5598,2024-05-30,Email,False,False,False,0.0,Targeted
20,1,6785,2024-03-10,SMS,False,False,False,0.0,Targeted
21,1,2916,2024-03-01,Email,False,False,False,0.0,Targeted
22,1,6521,2024-04-11,Direct Mail,False,False,False,0.0,Targeted
23,1,6888,2024-03-23,Email,True,True,False,0.0,Targeted
24,1,903,2024-04-30,Email,True,False,False,0.0,Targeted
25,1,1549,2024-05-31,Email,False,False,False,0.0,Targeted
26,1,6707,2024-03-12,Mobile Push,True,False,False,0.0,Targeted
27,1,614,2024-05-16,Email,False,False,False,0.0,Targeted
28,1,2251,2024-03-31,SMS,False,False,False,0.0,Targeted
29,1,714,2024-03-13,Advisor Call,False,False,False,0.0,Targeted
30,1,2333,2024-03-20,Mobile Push,False,False,False,0.0,Targeted
31,1,6540,2024-04-02,SMS,True,False,False,0.0,Targeted
32,1,1795,2024-03-27,Email,False,False,False,0.0,Targeted
33,1,6860,2024-03-28,Email,True,False,False,0.0,Targeted
34,1,656,2024-05-04,SMS,True,False,False,0.0,Targeted
35,1,5407,2024-04-17,Email,True,False,False,0.0,Control
36,1,4735,2024-03-12,Email,False,False,False,0.0,Targeted
37,1,1867,2024-05-02,Email,False,False,False,0.0,Targeted
38,1,3063,2024-04-10,SMS,False,False,False,0.0,Targeted
39,1,2947,2024-04-28,Mobile Push,False,False,False,0.0,Targeted
40,1,2959,2024-05-11,SMS,False,False,False,0.0,Targeted
41,1,2822,2024-03-29,Advisor Call,True,False,False,0.0,Targeted
42,1,709,2024-04-25,Email,True,False,False,0.0,Targeted
43,1,6956,2024-04-25,Mobile Push,False,False,False,0.0,Targeted
44,1,6141,2024-05-21,Advisor Call,True,False,False,0.0,Targeted
45,1,4834,2024-03-20,Mobile Push,True,False,False,0.0,Targeted
46,1,5178,2024-03-25,Email,True,False,False,0.0,Targeted
47,1,4915,2024-04-25,Email,False,False,False,0.0,Targeted
48,1,6015,2024-05-28,Email,True,False,False,0.0,Targeted
49,1,2486,2024-05-05,Email,False,False,False,0.0,Targeted
50,1,6286,2024-04-16,Email,False,False,False,0.0,Targeted
51,1,2651,2024-05-12,Email,False,False,False,0.0,Targeted
52,1,4694,2024-03-04,SMS,False,False,False,0.0,Targeted
53,1,837,2024-05-25,SMS,True,False,False,0.0,Targeted
54,1,1154,2024-03-16,Direct Mail,False,False,False,0.0,Targeted
55,1,3786,2024-04-25,Email,False,False,False,0.0,Targeted
56,1,2000,2024-03-25,Mobile Push,True,False,False,0.0,Targeted
57,1,2297,2024-04-18,Mobile Push,True,False,False,0.0,Targeted
58,1,2846,2024-03-10,Email,False,False,False,0.0,Control
59,1,917,2024-03-20,Direct Mail,True,False,False,0.0,Targeted
60,1,1341,2024-03-14,Email,True,True,False,0.0,Targeted
61,1,1153,2024-04-03,Email,False,False,False,0.0,Targeted
62,1,2971,2024-05-25,SMS,True,True,True,250.0,Targeted
63,1,2991,2024-03-12,Email,False,False,False,0.0,Targeted
64,1,388,2024-04-17,Email,False,False,False,0.0,Targeted
65,1,2515,2024-04-30,Mobile Push,False,False,False,0.0,Targeted
66,1,5976,2024-03-03,SMS,True,True,False,0.0,Control
67,1,4352,2024-03-01,Email,True,False,False,0.0,Targeted
68,1,625,2024-03-10,Mobile Push,False,False,False,0.0,Targeted
69,1,1252,2024-05-16,Mobile Push,True,False,False,0.0,Targeted
70,1,798,2024-03-20,SMS,False,False,False,0.0,Targeted
71,1,1819,2024-04-17,Direct Mail,True,False,False,0.0,Targeted
