statement_id,account_id,customer_id,institution_id,branch_id,date_key,statement_date,credit_limit,statement_balance,purchase_amount,payment_amount,interest_charged,fee_charged,minimum_payment_due,days_past_due,utilization_rate
1,2,1,2,64,20230131,2023-01-31,7500.0,1171.64,95.21,77.83,19.34,29,35.15,0,0.1562
2,2,1,2,64,20230228,2023-02-28,7500.0,1316.38,191.34,106.09,20.49,39,39.49,0,0.1755
3,2,1,2,64,20230331,2023-03-31,7500.0,1729.04,719.71,330.08,23.03,0,51.87,0,0.2305
4,2,1,2,64,20230430,2023-04-30,7500.0,2258.26,964.53,465.56,30.24,0,67.75,0,0.3011
5,2,1,2,64,20230531,2023-05-31,7500.0,2348.53,539.04,488.27,39.5,0,70.46,0,0.3131
6,2,1,2,64,20230630,2023-06-30,7500.0,2744.44,768.23,413.39,41.08,0,82.33,0,0.3659
7,2,1,2,64,20230731,2023-07-31,7500.0,3198.0,935.69,530.13,48.0,0,95.94,0,0.4264
8,2,1,2,64,20230831,2023-08-31,7500.0,4444.45,2296.84,1135.33,55.94,29,133.33,0,0.5926
9,2,1,2,64,20230930,2023-09-30,7500.0,4764.59,527.76,285.36,77.74,0,142.94,0,0.6353
10,2,1,2,64,20231031,2023-10-31,7500.0,4854.32,226.02,219.63,83.34,0,145.63,0,0.6472
11,2,1,2,64,20231130,2023-11-30,7500.0,4972.29,231.59,227.54,84.91,29,149.17,60,0.663
12,2,1,2,64,20231231,2023-12-31,7500.0,5282.61,411.36,188.0,86.97,0,158.48,30,0.7043
13,2,1,2,64,20240131,2024-01-31,7500.0,5434.52,717.98,687.48,92.4,29,163.04,0,0.7246
14,2,1,2,64,20240229,2024-02-29,7500.0,5459.08,1103.19,1202.69,95.06,29,163.77,0,0.7279
15,2,1,2,64,20240331,2024-03-31,7500.0,5722.9,315.3,175.97,95.49,29,171.69,0,0.7631
16,2,1,2,64,20240430,2024-04-30,7500.0,6127.54,931.68,666.14,100.1,39,183.83,0,0.817
17,2,1,2,64,20240531,2024-05-31,7500.0,6404.19,958.21,827.75,107.18,39,192.13,15,0.8539
18,2,1,2,64,20240630,2024-06-30,7500.0,6716.45,604.61,433.37,112.02,29,201.49,15,0.8955
19,2,1,2,64,20240731,2024-07-31,7500.0,6849.27,513.66,498.32,117.48,0,205.48,0,0.9132
20,2,1,2,64,20240831,2024-08-31,7500.0,6974.6,569.43,592.91,119.81,29,209.24,0,0.9299
21,2,1,2,64,20240930,2024-09-30,7500.0,7159.94,197.17,162.82,122.0,29,214.8,0,0.9547
22,2,1,2,64,20241031,2024-10-31,7500.0,7323.5,167.16,128.85,125.24,0,219.7,0,0.9765
23,2,1,2,64,20241130,2024-11-30,7500.0,7511.79,682.23,622.03,128.1,0,225.35,0,1.0016
24,2,1,2,64,20241231,2024-12-31,7500.0,7833.66,486.48,296.01,131.39,0,235.01,0,1.0445
25,2,1,2,64,20250131,2025-01-31,7500.0,7875.0,476.22,337.24,137.02,39,236.25,0,1.05
26,2,1,2,64,20250228,2025-02-28,7500.0,7875.0,3415.06,2751.18,137.75,0,236.25,60,1.05
27,2,1,2,64,20250331,2025-03-31,7500.0,7875.0,432.63,447.83,137.75,29,236.25,15,1.05
28,2,1,2,64,20250430,2025-04-30,7500.0,7875.0,494.14,526.32,137.75,0,236.25,0,1.05
29,2,1,2,64,20250531,2025-05-31,7500.0,7875.0,526.15,333.47,137.75,39,236.25,0,1.05
30,2,1,2,64,20250630,2025-06-30,7500.0,7875.0,275.26,150.54,137.75,0,236.25,0,1.05
31,2,1,2,64,20250731,2025-07-31,7500.0,7875.0,116.38,100.65,137.75,0,236.25,0,1.05
32,2,1,2,64,20250831,2025-08-31,7500.0,7875.0,307.52,188.93,137.75,29,236.25,0,1.05
33,2,1,2,64,20250930,2025-09-30,7500.0,7875.0,478.82,298.43,137.75,0,236.25,0,1.05
34,2,1,2,64,20251031,2025-10-31,7500.0,7875.0,283.7,224.66,137.75,29,236.25,0,1.05
35,2,1,2,64,20251130,2025-11-30,7500.0,7875.0,576.34,597.48,137.75,29,236.25,0,1.05
36,2,1,2,64,20251231,2025-12-31,7500.0,7875.0,574.41,440.43,137.75,29,236.25,0,1.05
37,4,2,4,167,20230131,2023-01-31,1000.0,409.15,481.61,465.25,6.08,39,12.27,0,0.4092
38,4,2,4,167,20230228,2023-02-28,1000.0,627.31,539.53,357.52,7.16,29,18.82,0,0.6273
39,4,2,4,167,20230331,2023-03-31,1000.0,746.98,520.2,411.5,10.97,0,22.41,15,0.747
40,4,2,4,167,20230430,2023-04-30,1000.0,787.29,449.15,450.91,13.07,29,23.62,0,0.7873
41,4,2,4,167,20230531,2023-05-31,1000.0,1050.0,1280.35,684.45,13.77,0,31.5,0,1.05
42,4,2,4,167,20230630,2023-06-30,1000.0,1050.0,781.81,809.45,18.37,39,31.5,0,1.05
43,4,2,4,167,20230731,2023-07-31,1000.0,1050.0,180.66,132.32,18.37,0,31.5,0,1.05
44,4,2,4,167,20230831,2023-08-31,1000.0,1050.0,362.61,293.24,18.37,0,31.5,30,1.05
45,4,2,4,167,20230930,2023-09-30,1000.0,1050.0,1108.62,1024.97,18.37,0,31.5,5,1.05
46,4,2,4,167,20231031,2023-10-31,1000.0,1050.0,734.76,535.88,18.37,29,31.5,0,1.05
47,4,2,4,167,20231130,2023-11-30,1000.0,1050.0,526.9,313.83,18.37,0,31.5,0,1.05
48,4,2,4,167,20231231,2023-12-31,1000.0,1050.0,932.94,815.25,18.37,0,31.5,0,1.05
49,4,2,4,167,20240131,2024-01-31,1000.0,1050.0,665.14,713.35,18.37,39,31.5,0,1.05
50,4,2,4,167,20240229,2024-02-29,1000.0,1050.0,280.66,208.67,18.37,0,31.5,0,1.05
51,4,2,4,167,20240331,2024-03-31,1000.0,1050.0,380.97,407.43,18.37,29,31.5,0,1.05
52,4,2,4,167,20240430,2024-04-30,1000.0,1050.0,996.17,910.44,18.37,39,31.5,0,1.05
53,4,2,4,167,20240531,2024-05-31,1000.0,1050.0,1545.12,1519.77,18.37,29,31.5,0,1.05
54,4,2,4,167,20240630,2024-06-30,1000.0,1050.0,104.56,52.07,18.37,29,31.5,60,1.05
55,4,2,4,167,20240731,2024-07-31,1000.0,1050.0,139.09,109.43,18.37,0,31.5,0,1.05
56,4,2,4,167,20240831,2024-08-31,1000.0,1050.0,397.73,334.98,18.37,0,31.5,0,1.05
57,4,2,4,167,20240930,2024-09-30,1000.0,1050.0,90.22,70.24,18.37,29,31.5,5,1.05
58,4,2,4,167,20241031,2024-10-31,1000.0,1050.0,241.56,136.11,18.37,0,31.5,0,1.05
59,4,2,4,167,20241130,2024-11-30,1000.0,1050.0,320.34,183.75,18.37,0,31.5,30,1.05
60,4,2,4,167,20241231,2024-12-31,1000.0,1050.0,97.37,75.85,18.37,0,31.5,0,1.05
61,4,2,4,167,20250131,2025-01-31,1000.0,1050.0,1930.49,1653.46,18.37,0,31.5,0,1.05
62,4,2,4,167,20250228,2025-02-28,1000.0,1050.0,149.91,142.0,18.37,29,31.5,0,1.05
63,4,2,4,167,20250331,2025-03-31,1000.0,1050.0,113.89,85.06,18.37,39,31.5,0,1.05
64,4,2,4,167,20250430,2025-04-30,1000.0,1050.0,456.87,353.37,18.37,39,31.5,0,1.05
65,4,2,4,167,20250531,2025-05-31,1000.0,1050.0,914.59,808.36,18.37,0,31.5,0,1.05
66,4,2,4,167,20250630,2025-06-30,1000.0,1050.0,343.55,312.83,18.37,0,31.5,0,1.05
67,4,2,4,167,20250731,2025-07-31,1000.0,1050.0,388.73,189.53,18.37,0,31.5,0,1.05
68,4,2,4,167,20250831,2025-08-31,1000.0,1050.0,133.62,119.17,18.37,39,31.5,90,1.05
69,4,2,4,167,20250930,2025-09-30,1000.0,1050.0,115.15,93.64,18.37,29,31.5,0,1.05
70,4,2,4,167,20251031,2025-10-31,1000.0,1050.0,373.61,284.75,18.37,39,31.5,30,1.05
71,4,2,4,167,20251130,2025-11-30,1000.0,1050.0,656.75,302.55,18.37,0,31.5,0,1.05
72,4,2,4,167,20251231,2025-12-31,1000.0,1050.0,195.35,195.82,18.37,29,31.5,0,1.05
73,7,3,2,66,20250930,2025-09-30,3000.0,1187.11,761.85,609.76,17.79,0,35.61,0,0.3957
74,7,3,2,66,20251031,2025-10-31,3000.0,1423.88,430.31,253.31,20.76,39,42.72,0,0.4746
75,7,3,2,66,20251130,2025-11-30,3000.0,1421.28,381.88,409.38,24.91,0,42.64,0,0.4738
76,7,3,2,66,20251231,2025-12-31,3000.0,1456.73,78.14,67.55,24.86,0,43.7,0,0.4856
77,17,8,4,152,20230131,2023-01-31,5000.0,997.08,93.6,97.69,16.54,39,29.91,0,0.1994
78,17,8,4,152,20230228,2023-02-28,5000.0,1206.5,406.63,214.65,17.44,0,36.19,0,0.2413
79,17,8,4,152,20230331,2023-03-31,5000.0,1339.57,289.84,177.88,21.1,0,40.19,0,0.2679
80,17,8,4,152,20230430,2023-04-30,5000.0,1583.28,507.32,316.04,23.43,29,47.5,0,0.3167
81,17,8,4,152,20230531,2023-05-31,5000.0,1832.77,521.24,299.43,27.69,0,54.98,0,0.3666
82,17,8,4,152,20230630,2023-06-30,5000.0,2012.15,1093.38,946.06,32.06,0,60.36,15,0.4024
83,17,8,4,152,20230731,2023-07-31,5000.0,2036.48,339.24,350.11,35.2,0,61.09,0,0.4073
84,17,8,4,152,20230831,2023-08-31,5000.0,2123.99,363.48,311.59,35.62,0,63.72,0,0.4248
85,17,8,4,152,20230930,2023-09-30,5000.0,2346.35,327.01,170.8,37.15,29,70.39,60,0.4693
86,17,8,4,152,20231031,2023-10-31,5000.0,2452.49,382.3,317.2,41.04,0,73.57,0,0.4905
87,17,8,4,152,20231130,2023-11-30,5000.0,2484.94,520.24,530.68,42.9,0,74.55,0,0.497
88,17,8,4,152,20231231,2023-12-31,5000.0,2592.88,575.31,510.83,43.47,0,77.79,0,0.5186
89,17,8,4,152,20240131,2024-01-31,5000.0,2630.82,142.05,149.47,45.35,0,78.92,0,0.5262
90,17,8,4,152,20240229,2024-02-29,5000.0,2652.51,275.71,300.03,46.02,0,79.58,0,0.5305
91,17,8,4,152,20240331,2024-03-31,5000.0,2910.56,495.59,322.93,46.4,39,87.32,0,0.5821
92,17,8,4,152,20240430,2024-04-30,5000.0,3006.49,151.02,106.0,50.91,0,90.19,30,0.6013
93,17,8,4,152,20240531,2024-05-31,5000.0,3520.49,1119.31,657.9,52.59,0,105.61,0,0.7041
94,17,8,4,152,20240630,2024-06-30,5000.0,3718.9,425.21,317.38,61.58,29,111.57,0,0.7438
95,17,8,4,152,20240731,2024-07-31,5000.0,3886.54,430.34,327.75,65.05,0,116.6,0,0.7773
96,17,8,4,152,20240831,2024-08-31,5000.0,4269.71,668.29,392.1,67.98,39,128.09,0,0.8539
97,17,8,4,152,20240930,2024-09-30,5000.0,4376.9,589.06,556.55,74.68,0,131.31,60,0.8754
98,17,8,4,152,20241031,2024-10-31,5000.0,4592.41,434.75,334.8,76.56,39,137.77,0,0.9185
99,17,8,4,152,20241130,2024-11-30,5000.0,4695.02,253.64,231.36,80.33,0,140.85,0,0.939
100,17,8,4,152,20241231,2024-12-31,5000.0,4891.9,437.03,322.27,82.12,0,146.76,0,0.9784
101,17,8,4,152,20250131,2025-01-31,5000.0,5034.36,1036.85,979.96,85.57,0,151.03,0,1.0069
102,17,8,4,152,20250228,2025-02-28,5000.0,5170.76,216.64,168.29,88.06,0,155.12,0,1.0342
103,17,8,4,152,20250331,2025-03-31,5000.0,5250.0,95.65,92.71,90.45,39,157.5,0,1.05
104,17,8,4,152,20250430,2025-04-30,5000.0,5250.0,1737.73,1252.31,91.83,29,157.5,0,1.05
105,17,8,4,152,20250531,2025-05-31,5000.0,5250.0,168.69,120.91,91.83,0,157.5,0,1.05
106,17,8,4,152,20250630,2025-06-30,5000.0,5250.0,283.23,289.46,91.83,0,157.5,0,1.05
107,17,8,4,152,20250731,2025-07-31,5000.0,5250.0,156.56,142.92,91.83,39,157.5,5,1.05
108,17,8,4,152,20250831,2025-08-31,5000.0,5250.0,788.52,674.68,91.83,29,157.5,0,1.05
109,17,8,4,152,20250930,2025-09-30,5000.0,5250.0,213.77,209.99,91.83,29,157.5,0,1.05
110,17,8,4,152,20251031,2025-10-31,5000.0,5250.0,1173.74,698.57,91.83,0,157.5,0,1.05
111,17,8,4,152,20251130,2025-11-30,5000.0,5250.0,419.59,256.81,91.83,0,157.5,0,1.05
112,17,8,4,152,20251231,2025-12-31,5000.0,5250.0,361.11,225.02,91.83,0,157.5,0,1.05
113,20,9,2,78,20251130,2025-11-30,3000.0,391.56,176.83,147.56,5.73,29,11.75,0,0.1305
114,20,9,2,78,20251231,2025-12-31,3000.0,526.55,605.16,506.02,6.85,29,15.8,0,0.1755
115,24,11,1,38,20230131,2023-01-31,10000.0,3926.18,788.94,373.58,60.35,0,117.79,90,0.3926
116,24,11,1,38,20230228,2023-02-28,10000.0,4467.33,3166.03,2693.56,68.68,0,134.02,0,0.4467
117,24,11,1,38,20230331,2023-03-31,10000.0,4571.95,562.93,536.44,78.14,0,137.16,0,0.4572
118,24,11,1,38,20230430,2023-04-30,10000.0,4760.88,238.56,129.6,79.97,0,142.83,0,0.4761
119,24,11,1,38,20230531,2023-05-31,10000.0,4931.6,634.48,547.04,83.28,0,147.95,0,0.4932
120,24,11,1,38,20230630,2023-06-30,10000.0,4979.06,927.98,1005.78,86.26,39,149.37,0,0.4979
121,24,11,1,38,20230731,2023-07-31,10000.0,5275.78,384.14,174.51,87.09,0,158.27,0,0.5276
122,24,11,1,38,20230831,2023-08-31,10000.0,5725.84,598.58,269.8,92.28,29,171.78,0,0.5726
123,24,11,1,38,20230930,2023-09-30,10000.0,5878.31,135.24,82.93,100.15,0,176.35,0,0.5878
124,24,11,1,38,20231031,2023-10-31,10000.0,6091.6,290.81,180.34,102.82,0,182.75,0,0.6092
125,24,11,1,38,20231130,2023-11-30,10000.0,6227.93,406.4,405.62,106.55,29,186.84,0,0.6228
126,24,11,1,38,20231231,2023-12-31,10000.0,6867.64,1053.88,523.11,108.94,0,206.03,0,0.6868
127,24,11,1,38,20240131,2024-01-31,10000.0,7094.99,314.03,206.81,120.13,0,212.85,0,0.7095
128,24,11,1,38,20240229,2024-02-29,10000.0,7293.62,177.44,102.91,124.1,0,218.81,0,0.7294
129,24,11,1,38,20240331,2024-03-31,10000.0,7645.35,430.42,206.27,127.58,0,229.36,0,0.7645
130,24,11,1,38,20240430,2024-04-30,10000.0,7842.14,185.44,151.38,133.73,29,235.26,0,0.7842
131,24,11,1,38,20240531,2024-05-31,10000.0,8088.9,279.34,169.75,137.17,0,242.67,0,0.8089
132,24,11,1,38,20240630,2024-06-30,10000.0,8327.87,431.52,334.03,141.49,0,249.84,0,0.8328
133,24,11,1,38,20240731,2024-07-31,10000.0,8812.7,663.37,353.21,145.67,29,264.38,0,0.8813
134,24,11,1,38,20240831,2024-08-31,10000.0,9129.7,305.5,142.65,154.15,0,273.89,30,0.913
135,24,11,1,38,20240930,2024-09-30,10000.0,9386.41,534.47,466.45,159.69,29,281.59,0,0.9386
136,24,11,1,38,20241031,2024-10-31,10000.0,9799.82,516.54,306.32,164.18,39,293.99,0,0.98
137,24,11,1,38,20241130,2024-11-30,10000.0,10093.38,1570.43,1448.28,171.42,0,302.8,0,1.0093
138,24,11,1,38,20241231,2024-12-31,10000.0,10381.79,200.31,117.45,176.55,29,311.45,0,1.0382
139,24,11,1,38,20250131,2025-01-31,10000.0,10500.0,931.38,677.01,181.59,0,315.0,0,1.05
140,24,11,1,38,20250228,2025-02-28,10000.0,10500.0,413.74,365.99,183.66,39,315.0,0,1.05
141,24,11,1,38,20250331,2025-03-31,10000.0,10500.0,446.12,330.28,183.66,0,315.0,0,1.05
142,24,11,1,38,20250430,2025-04-30,10000.0,10500.0,517.69,391.39,183.66,39,315.0,0,1.05
143,24,11,1,38,20250531,2025-05-31,10000.0,10500.0,115.76,59.23,183.66,29,315.0,60,1.05
144,24,11,1,38,20250630,2025-06-30,10000.0,10500.0,1284.77,1165.12,183.66,0,315.0,0,1.05
145,24,11,1,38,20250731,2025-07-31,10000.0,10500.0,371.68,266.0,183.66,39,315.0,30,1.05
146,24,11,1,38,20250831,2025-08-31,10000.0,10500.0,321.95,324.04,183.66,39,315.0,0,1.05
147,24,11,1,38,20250930,2025-09-30,10000.0,10500.0,1949.04,1035.1,183.66,29,315.0,0,1.05
148,24,11,1,38,20251031,2025-10-31,10000.0,10500.0,114.47,56.51,183.66,39,315.0,0,1.05
149,24,11,1,38,20251130,2025-11-30,10000.0,10500.0,593.78,455.86,183.66,39,315.0,0,1.05
150,24,11,1,38,20251231,2025-12-31,10000.0,10500.0,401.4,360.83,183.66,0,315.0,0,1.05
151,29,13,4,136,20251231,2025-12-31,1000.0,465.68,416.94,398.45,7.02,39,13.97,5,0.4657
152,49,23,1,8,20230930,2023-09-30,7500.0,2949.43,266.5,231.0,49.42,39,88.48,0,0.3933
153,49,23,1,8,20231031,2023-10-31,7500.0,3256.02,1347.11,1092.11,51.59,0,97.68,15,0.4341
154,49,23,1,8,20231130,2023-11-30,7500.0,3392.47,208.48,128.99,56.95,0,101.77,0,0.4523
155,49,23,1,8,20231231,2023-12-31,7500.0,3533.57,504.73,461.96,59.34,39,106.01,0,0.4711
156,49,23,1,8,20240131,2024-01-31,7500.0,3655.46,98.63,77.54,61.81,39,109.66,0,0.4874
157,49,23,1,8,20240229,2024-02-29,7500.0,3715.58,223.64,227.47,63.94,0,111.47,0,0.4954
158,49,23,1,8,20240331,2024-03-31,7500.0,3828.52,533.01,485.06,64.99,0,114.86,60,0.5105
159,49,23,1,8,20240430,2024-04-30,7500.0,4161.81,631.21,403.88,66.97,39,124.85,0,0.5549
160,49,23,1,8,20240531,2024-05-31,7500.0,4556.24,701.5,379.88,72.8,0,136.69,0,0.6075
161,49,23,1,8,20240630,2024-06-30,7500.0,4633.53,179.41,181.81,79.7,0,139.01,0,0.6178
162,49,23,1,8,20240731,2024-07-31,7500.0,4994.9,552.58,301.27,81.05,29,149.85,0,0.666
163,49,23,1,8,20240831,2024-08-31,7500.0,5124.01,91.24,78.5,87.37,29,153.72,15,0.6832
164,49,23,1,8,20240930,2024-09-30,7500.0,5255.11,630.7,589.23,89.63,0,157.65,0,0.7007
165,49,23,1,8,20241031,2024-10-31,7500.0,5561.62,557.77,382.18,91.92,39,166.85,0,0.7415
