risk_history_id,customer_id,credit_score_band,credit_score,risk_segment,income_band,employment_status,effective_start_date,effective_end_date,is_current
1,1,Excellent,812,Low,60K-90K,Retired,2023-01-01,2099-12-31,True
2,2,Excellent,818,High,40K-60K,Self-employed,2023-01-01,2099-12-31,True
3,3,Poor,573,High,90K-125K,Employed,2023-01-01,2099-12-31,True
4,4,Excellent,806,Medium,40K-60K,Retired,2023-01-01,2099-12-31,True
5,5,Good,705,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
6,6,Good,679,Medium,<40K,Employed,2023-01-01,2099-12-31,True
7,7,Fair,600,Low,200K+,Employed,2023-01-01,2099-12-31,True
8,8,No Score,,High,40K-60K,Employed,2023-01-01,2024-12-31,False
9,8,Excellent,835,Low,40K-60K,Employed,2025-01-01,2099-12-31,True
10,9,Very Good,756,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
11,10,Very Good,728,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
12,11,Fair,654,High,40K-60K,Employed,2023-01-01,2099-12-31,True
13,12,Very Good,759,Medium,<40K,Employed,2023-01-01,2099-12-31,True
14,13,Very Good,779,Low,<40K,Employed,2023-01-01,2099-12-31,True
15,14,Good,704,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
16,15,Good,713,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
17,16,Good,712,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
18,17,Fair,610,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
19,18,Good,699,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
20,19,Very Good,726,Medium,90K-125K,Employed,2023-01-01,2099-12-31,True
21,20,Poor,544,High,<40K,Student,2023-01-01,2099-12-31,True
22,21,Poor,557,High,<40K,Employed,2023-01-01,2099-12-31,True
23,22,Good,676,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
24,23,Excellent,803,Low,<40K,Newcomer/Temporary,2023-01-01,2099-12-31,True
25,24,Fair,594,High,90K-125K,Student,2023-01-01,2099-12-31,True
26,25,Good,719,Low,60K-90K,Self-employed,2023-01-01,2099-12-31,True
27,26,Very Good,758,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
28,27,Excellent,800,High,<40K,Student,2023-01-01,2099-12-31,True
29,28,Good,,Low,60K-90K,Newcomer/Temporary,2023-01-01,2024-12-31,False
30,28,Excellent,830,Low,60K-90K,Newcomer/Temporary,2025-01-01,2099-12-31,True
31,29,Poor,562,Medium,40K-60K,Student,2023-01-01,2099-12-31,True
32,30,Very Good,,New/Thin File,40K-60K,Newcomer/Temporary,2023-01-01,2024-12-31,False
33,30,Very Good,748,Low,40K-60K,Newcomer/Temporary,2025-01-01,2099-12-31,True
34,31,Good,706,Low,60K-90K,Employed,2023-01-01,2099-12-31,True
35,32,Very Good,730,Low,125K-200K,Employed,2023-01-01,2099-12-31,True
36,33,Very Good,765,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
37,34,Very Good,,High,40K-60K,Retired,2023-01-01,2024-12-31,False
38,34,Very Good,757,High,40K-60K,Retired,2025-01-01,2099-12-31,True
39,35,Excellent,785,Low,<40K,Employed,2023-01-01,2099-12-31,True
40,36,Poor,559,Low,<40K,Employed,2023-01-01,2099-12-31,True
41,37,Poor,,Medium,200K+,Employed,2023-01-01,2024-12-31,False
42,37,Fair,655,High,200K+,Employed,2025-01-01,2099-12-31,True
43,38,Excellent,839,Low,90K-125K,Employed,2023-01-01,2099-12-31,True
44,39,Excellent,838,Low,40K-60K,Employed,2023-01-01,2099-12-31,True
45,40,Excellent,792,Low,40K-60K,Retired,2023-01-01,2099-12-31,True
46,41,Good,679,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
47,42,Fair,594,High,40K-60K,Employed,2023-01-01,2099-12-31,True
48,43,Good,683,Medium,60K-90K,Employed,2023-01-01,2099-12-31,True
49,44,Good,696,High,90K-125K,Employed,2023-01-01,2099-12-31,True
50,45,Good,,High,60K-90K,Employed,2023-01-01,2024-12-31,False
51,45,Fair,623,High,60K-90K,Employed,2025-01-01,2099-12-31,True
52,46,Good,677,High,90K-125K,Self-employed,2023-01-01,2099-12-31,True
53,47,Good,664,High,<40K,Self-employed,2023-01-01,2099-12-31,True
54,48,No Score,,High,90K-125K,Retired,2023-01-01,2024-12-31,False
55,48,Good,691,High,90K-125K,Retired,2025-01-01,2099-12-31,True
56,49,Poor,539,High,40K-60K,Employed,2023-01-01,2099-12-31,True
