fraud_alert_id,transaction_id,account_id,customer_id,institution_id,branch_id,alert_date,alert_type,severity,confirmed_fraud_flag,estimated_loss_amount,resolution_status
1,29778,12037,5859,6,209,2025-12-27,Card Not Present,High,False,0.0,Closed - False Positive
2,59810,6059,2968,1,36,2023-04-02,Unusual Amount,Low,False,0.0,Closed - False Positive
3,26981,6465,3164,3,125,2024-01-15,Card Not Present,Low,False,0.0,Closed - False Positive
4,39862,3539,1735,6,226,2024-05-16,Geo Mismatch,Medium,False,0.0,Closed - False Positive
5,51442,7313,3586,3,125,2024-05-16,Geo Mismatch,Low,False,0.0,Closed - False Positive
6,18092,13401,6525,3,103,2023-03-16,Velocity Spike,Low,False,0.0,Closed - False Positive
7,36980,11797,5750,6,220,2024-09-13,Velocity Spike,Medium,False,0.0,Closed - False Positive
8,32119,7985,3902,5,208,2024-09-05,Velocity Spike,Low,False,0.0,Closed - False Positive
9,35779,7932,3880,2,74,2024-04-04,High Risk Merchant,Low,True,120.44,Closed - Confirmed Fraud
10,57741,10600,5161,3,99,2025-06-02,Velocity Spike,High,False,0.0,Closed - False Positive
11,17427,1282,619,4,169,2024-05-15,Card Not Present,Low,False,0.0,Closed - False Positive
12,18570,6445,3156,1,42,2025-03-17,Known Compromise,High,False,0.0,Under Review
13,258,6250,3058,1,14,2024-09-02,High Risk Merchant,High,True,48.13,Closed - Confirmed Fraud
14,25173,4374,2141,2,74,2024-03-23,Velocity Spike,Low,False,0.0,Closed - False Positive
15,41673,13677,6656,1,28,2023-10-22,Geo Mismatch,Medium,False,0.0,Closed - False Positive
16,31597,7902,3864,1,19,2023-08-01,High Risk Merchant,Medium,False,0.0,Customer Contacted
17,47381,11571,5645,2,57,2024-12-04,Card Not Present,Low,False,0.0,Closed - False Positive
18,9100,6694,3279,1,45,2025-01-13,Geo Mismatch,Low,False,0.0,Account Frozen
19,50517,8160,3988,3,101,2025-09-05,Velocity Spike,Critical,True,148.85,Account Frozen
20,53665,4157,2032,2,57,2024-05-31,Unusual Amount,High,False,0.0,Customer Contacted
21,28412,11897,5797,2,56,2025-09-15,Card Not Present,Critical,False,0.0,Closed - Confirmed Fraud
22,41034,7218,3536,6,216,2025-01-28,Velocity Spike,High,True,36.15,Closed - Confirmed Fraud
23,34638,6725,3292,1,10,2025-07-08,Velocity Spike,Medium,False,0.0,Closed - False Positive
24,28463,6235,3052,1,2,2025-06-07,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
25,39200,12804,6225,1,26,2025-12-16,Card Not Present,Low,False,0.0,Closed - Confirmed Fraud
26,11502,10214,4979,6,209,2025-01-01,High Risk Merchant,Low,True,607.55,Closed - Confirmed Fraud
27,9250,4678,2289,3,111,2023-11-17,High Risk Merchant,High,False,0.0,Closed - False Positive
28,34766,10763,5243,3,119,2025-01-10,Unusual Amount,Low,False,0.0,Closed - False Positive
29,25858,11639,5678,3,113,2025-12-08,High Risk Merchant,Medium,False,0.0,Closed - False Positive
30,58790,2970,1447,2,46,2024-06-10,Known Compromise,Critical,True,352.62,Closed - Confirmed Fraud
31,50005,9506,4640,2,66,2024-01-04,Geo Mismatch,Critical,False,0.0,Under Review
32,41185,11331,5522,6,226,2023-07-20,Card Not Present,Low,False,0.0,Customer Contacted
33,47795,6934,3398,5,189,2025-01-06,Known Compromise,Medium,False,0.0,Closed - False Positive
34,67214,4824,2367,5,200,2023-05-22,Card Not Present,Low,True,307.51,Closed - Confirmed Fraud
35,11077,7965,3894,3,119,2025-04-16,Velocity Spike,Medium,False,0.0,Closed - Confirmed Fraud
36,60834,11878,5791,5,171,2023-03-29,High Risk Merchant,Low,False,0.0,Closed - Confirmed Fraud
37,50299,1163,569,4,132,2025-07-24,Known Compromise,Medium,False,0.0,Closed - False Positive
38,42252,3404,1668,3,105,2024-01-07,Geo Mismatch,Medium,False,0.0,Closed - False Positive
39,62697,3230,1577,2,61,2024-05-19,Unusual Amount,Low,False,0.0,Account Frozen
40,36284,8930,4367,1,31,2024-02-16,Velocity Spike,Medium,False,0.0,Closed - False Positive
41,62973,8909,4357,2,59,2025-02-07,Geo Mismatch,Medium,False,0.0,Account Frozen
42,56261,7197,3526,2,51,2023-12-07,Unusual Amount,Medium,False,0.0,Closed - False Positive
43,32660,7666,3753,5,174,2023-09-01,Unusual Amount,Low,False,0.0,Closed - False Positive
44,1858,12472,6061,1,7,2023-03-10,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
45,37582,11262,5486,2,83,2024-08-02,Card Not Present,Low,False,0.0,Under Review
46,58593,3312,1619,4,141,2025-06-11,Velocity Spike,Medium,True,234.72,Account Frozen
47,58181,13290,6470,6,214,2025-09-27,Card Not Present,Low,False,0.0,Account Frozen
48,50815,11346,5530,1,34,2025-09-01,Card Not Present,Low,False,0.0,Under Review
49,19646,6075,2978,2,70,2025-04-23,Known Compromise,High,True,39.36,Account Frozen
50,68883,2083,1017,1,25,2024-08-09,Velocity Spike,Critical,True,372.48,Account Frozen
51,4533,5917,2904,4,152,2024-07-27,Velocity Spike,High,True,33.47,Account Frozen
52,40906,1958,955,1,31,2023-05-21,Card Not Present,Medium,False,0.0,Customer Contacted
53,29374,12467,6059,1,33,2025-09-27,Unusual Amount,Low,False,0.0,Under Review
54,16985,3520,1722,2,60,2024-03-14,High Risk Merchant,Low,False,0.0,Closed - False Positive
55,42697,6743,3302,3,93,2023-12-06,Velocity Spike,Medium,False,0.0,Customer Contacted
56,4377,9045,4420,2,55,2024-06-01,Velocity Spike,Medium,False,0.0,Closed - False Positive
57,21455,272,130,3,97,2023-11-20,High Risk Merchant,Low,True,174.44,Customer Contacted
58,35298,8469,4137,1,6,2024-08-27,Geo Mismatch,High,False,0.0,Closed - False Positive
59,34894,9110,4447,2,83,2023-07-13,Unusual Amount,High,True,70.57,Closed - Confirmed Fraud
60,61641,6039,2961,2,77,2023-08-17,Card Not Present,Low,False,0.0,Closed - False Positive
61,63365,9109,4446,1,35,2023-08-25,Geo Mismatch,Medium,False,0.0,Customer Contacted
62,62637,9616,4694,1,24,2024-10-22,Known Compromise,High,False,0.0,Closed - False Positive
63,54431,2461,1198,6,222,2024-12-20,High Risk Merchant,Medium,True,63.49,Customer Contacted
64,23560,11452,5581,5,196,2024-04-20,High Risk Merchant,High,False,0.0,Closed - Confirmed Fraud
65,23404,4381,2143,2,72,2025-11-26,Geo Mismatch,Low,False,0.0,Closed - False Positive
66,62496,10311,5027,3,106,2024-08-10,Velocity Spike,Low,False,0.0,Account Frozen
67,6307,5142,2522,3,94,2024-10-21,Velocity Spike,Low,False,0.0,Customer Contacted
68,21176,6962,3410,5,196,2024-03-30,Card Not Present,Low,False,0.0,Account Frozen
69,9832,7034,3444,3,123,2023-12-21,Velocity Spike,Medium,False,0.0,Closed - False Positive
70,55527,4837,2372,3,116,2024-01-12,Velocity Spike,Critical,False,0.0,Under Review
71,57153,12040,5861,3,109,2023-02-15,Unusual Amount,High,False,0.0,Closed - False Positive
72,48065,13157,6404,3,125,2025-04-14,Known Compromise,High,False,0.0,Customer Contacted
73,40578,11954,5826,6,215,2024-02-29,Unusual Amount,Medium,False,0.0,Closed - False Positive
74,31251,9974,4858,4,152,2024-02-19,Card Not Present,Low,False,0.0,Closed - False Positive
75,23664,9936,4842,1,24,2024-09-08,Card Not Present,Medium,False,0.0,Closed - False Positive
76,59805,13851,6749,3,130,2025-12-31,Card Not Present,Low,False,0.0,Closed - False Positive
77,17122,3339,1632,2,88,2025-10-27,Card Not Present,High,False,0.0,Closed - False Positive
78,49170,7021,3438,5,195,2024-12-08,Geo Mismatch,Critical,False,0.0,Closed - False Positive
79,45265,2741,1325,5,174,2025-01-30,High Risk Merchant,Medium,False,0.0,Closed - False Positive
80,29052,4336,2120,1,22,2025-09-05,Card Not Present,High,False,0.0,Under Review
81,44296,9195,4493,6,213,2023-01-20,Card Not Present,High,False,0.0,Closed - False Positive
82,69949,8383,4098,5,176,2025-11-18,Geo Mismatch,Medium,False,0.0,Customer Contacted
83,65844,5555,2727,5,201,2025-05-13,Geo Mismatch,Medium,False,0.0,Closed - False Positive
84,40885,10888,5303,6,224,2024-02-06,Known Compromise,Low,False,0.0,Customer Contacted
85,29567,364,176,5,203,2025-05-20,Unusual Amount,Medium,False,0.0,Closed - False Positive
86,18557,9387,4580,2,56,2023-05-12,Known Compromise,Low,False,0.0,Closed - False Positive
87,50109,14083,6865,2,73,2023-12-02,Geo Mismatch,Low,False,0.0,Closed - False Positive
88,20320,4728,2318,5,185,2024-03-03,High Risk Merchant,Medium,False,0.0,Closed - False Positive
89,9051,1187,577,2,48,2025-02-12,Velocity Spike,Low,False,0.0,Closed - False Positive
90,17960,8534,4169,2,63,2025-07-07,Velocity Spike,High,False,0.0,Account Frozen
91,34860,10385,5063,1,44,2025-06-30,Velocity Spike,Low,False,0.0,Closed - False Positive
92,47805,11998,5844,2,84,2023-09-28,Unusual Amount,High,True,19.0,Closed - Confirmed Fraud
93,10132,5858,2875,1,29,2025-02-17,High Risk Merchant,High,False,0.0,Account Frozen
94,6865,11235,5472,4,143,2024-12-08,Card Not Present,High,False,0.0,Closed - False Positive
95,62676,215,106,3,107,2024-06-27,Unusual Amount,Low,False,0.0,Closed - Confirmed Fraud
96,11877,11270,5489,5,184,2023-06-15,Unusual Amount,High,True,83.66,Closed - Confirmed Fraud
97,21639,13602,6619,3,129,2025-08-04,Unusual Amount,Low,False,0.0,Closed - False Positive
98,18376,2663,1290,1,15,2023-08-31,Card Not Present,Medium,False,0.0,Under Review
99,40241,12384,6022,5,196,2025-03-02,Geo Mismatch,Low,False,0.0,Closed - False Positive
100,11431,9463,4616,1,1,2024-05-11,Velocity Spike,Medium,False,0.0,Closed - False Positive
101,68531,9678,4725,3,99,2025-08-11,Geo Mismatch,Medium,False,0.0,Closed - False Positive
102,27969,2539,1234,4,139,2024-04-04,Geo Mismatch,High,False,0.0,Under Review
103,5911,4076,1989,5,206,2024-04-13,Velocity Spike,Medium,False,0.0,Closed - Confirmed Fraud
104,65355,8661,4229,2,51,2025-05-01,Card Not Present,Low,False,0.0,Closed - False Positive
105,52495,13580,6610,2,46,2025-06-18,Geo Mismatch,Low,False,0.0,Closed - False Positive
106,24097,10817,5269,2,63,2023-09-06,Unusual Amount,Medium,False,0.0,Customer Contacted
107,66627,9309,4544,5,193,2023-06-27,Known Compromise,Medium,False,0.0,Closed - False Positive
108,55432,8998,4399,2,68,2024-01-20,Geo Mismatch,High,False,0.0,Closed - False Positive
109,25402,4708,2308,6,226,2025-03-29,Velocity Spike,Low,False,0.0,Closed - False Positive
110,33033,13142,6395,4,165,2023-06-06,Velocity Spike,Low,False,0.0,Customer Contacted
111,65798,9943,4844,5,186,2023-09-03,Card Not Present,Low,False,0.0,Customer Contacted
112,29143,5988,2935,5,184,2023-07-28,Velocity Spike,High,True,57.78,Closed - Confirmed Fraud
113,55459,3513,1719,2,75,2025-02-27,Velocity Spike,Medium,False,0.0,Under Review
114,1682,4004,1956,2,68,2023-12-13,Known Compromise,Low,False,0.0,Closed - Confirmed Fraud
115,9816,4965,2433,4,165,2025-12-03,High Risk Merchant,High,True,105.8,Customer Contacted
116,47198,5583,2739,1,6,2023-10-16,Velocity Spike,Low,False,0.0,Closed - False Positive
117,25456,12620,6135,3,118,2025-08-15,High Risk Merchant,Medium,True,546.14,Closed - Confirmed Fraud
118,50022,3236,1581,2,89,2024-08-13,Velocity Spike,Low,False,0.0,Closed - False Positive
119,12706,5238,2570,3,106,2024-06-27,Geo Mismatch,Low,False,0.0,Account Frozen
120,68347,6354,3111,2,72,2025-02-23,High Risk Merchant,Medium,False,0.0,Account Frozen
121,29967,6383,3126,3,102,2023-06-26,Card Not Present,Low,False,0.0,Closed - False Positive
122,14979,3870,1887,2,90,2023-11-04,Known Compromise,Low,False,0.0,Under Review
123,7796,5597,2748,4,135,2025-07-03,Unusual Amount,Medium,False,0.0,Closed - False Positive
124,42743,13934,6791,1,28,2023-02-23,Unusual Amount,High,True,142.47,Customer Contacted
125,47603,12557,6105,5,198,2024-11-01,Card Not Present,Medium,False,0.0,Closed - False Positive
