loan_payment_id,loan_id,account_id,customer_id,institution_id,date_key,due_date,paid_date,amount_due,amount_paid,days_late,principal_component,interest_component,payment_status
1,1,6,3,4,20250930,2025-09-30,2025-09-30,850.64,850.64,0,263.47,587.17,Paid
2,1,6,3,4,20251031,2025-10-31,2025-10-31,850.64,850.64,0,264.5,586.14,Paid
3,1,6,3,4,20251130,2025-11-30,2025-11-30,850.64,850.64,0,265.54,585.11,Paid
4,1,6,3,4,20251231,2025-12-31,2025-12-31,850.64,850.64,0,266.58,584.07,Paid
5,2,15,7,6,20230131,2023-01-31,2023-01-31,1136.87,1136.87,0,831.88,304.99,Paid
6,2,15,7,6,20230228,2023-02-28,2023-02-28,1136.87,1136.87,0,839.13,297.74,Paid
7,2,15,7,6,20230331,2023-03-31,2023-03-31,1136.87,1136.87,0,846.44,290.43,Paid
8,2,15,7,6,20230430,2023-04-30,2023-05-05,1136.87,1136.87,5,853.82,283.05,Paid
9,2,15,7,6,20230531,2023-05-31,2023-05-31,1136.87,1136.87,0,861.26,275.61,Paid
10,2,15,7,6,20230630,2023-06-30,2023-06-30,1136.87,1136.87,0,868.77,268.11,Paid
11,2,15,7,6,20230731,2023-07-31,2023-07-31,1136.87,1136.87,0,876.34,260.54,Paid
12,2,15,7,6,20230831,2023-08-31,2023-08-31,1136.87,1136.87,0,883.97,252.9,Paid
13,2,15,7,6,20230930,2023-09-30,2023-09-30,1136.87,1136.87,0,891.68,245.2,Paid
14,2,15,7,6,20231031,2023-10-31,2023-10-31,1136.87,1136.87,0,899.45,237.43,Paid
15,2,15,7,6,20231130,2023-11-30,2023-11-30,1136.87,1136.87,0,907.28,229.59,Paid
16,2,15,7,6,20231231,2023-12-31,2023-12-31,1136.87,1136.87,0,915.19,221.68,Paid
17,2,15,7,6,20240131,2024-01-31,2024-01-31,1136.87,1136.87,0,923.16,213.71,Paid
18,2,15,7,6,20240229,2024-02-29,2024-03-15,1136.87,1136.87,15,931.21,205.66,Paid
19,2,15,7,6,20240331,2024-03-31,2024-03-31,1136.87,1136.87,0,939.32,197.55,Paid
20,2,15,7,6,20240430,2024-04-30,2024-04-30,1136.87,1136.87,0,947.51,189.36,Paid
21,2,15,7,6,20240531,2024-05-31,2024-05-31,1136.87,1136.87,0,955.76,181.11,Paid
22,2,15,7,6,20240630,2024-06-30,2024-06-30,1136.87,1136.87,0,964.09,172.78,Paid
23,2,15,7,6,20240731,2024-07-31,2024-07-31,1136.87,1136.87,0,972.49,164.38,Paid
24,2,15,7,6,20240831,2024-08-31,2024-08-31,1136.87,1136.87,0,980.97,155.9,Paid
25,2,15,7,6,20240930,2024-09-30,2024-09-30,1136.87,1136.87,0,989.52,147.36,Paid
26,2,15,7,6,20241031,2024-10-31,2024-10-31,1136.87,1136.87,0,998.14,138.73,Paid
27,2,15,7,6,20241130,2024-11-30,2024-11-30,1136.87,1136.87,0,1006.84,130.04,Paid
28,2,15,7,6,20241231,2024-12-31,2024-12-31,1136.87,1136.87,0,1015.61,121.26,Paid
29,3,31,14,2,20230331,2023-03-31,2023-03-31,93.51,93.51,0,22.82,70.7,Paid
30,3,31,14,2,20230430,2023-04-30,2023-04-30,93.51,93.51,0,22.92,70.59,Paid
31,3,31,14,2,20230531,2023-05-31,2023-06-05,93.51,93.51,5,23.03,70.48,Paid
32,3,31,14,2,20230630,2023-06-30,2023-06-30,93.51,93.51,0,23.14,70.37,Paid
33,3,31,14,2,20230731,2023-07-31,2023-07-31,93.51,93.51,0,23.25,70.26,Paid
34,3,31,14,2,20230831,2023-08-31,2023-08-31,93.51,93.51,0,23.36,70.15,Paid
35,3,31,14,2,20230930,2023-09-30,2023-09-30,93.51,93.51,0,23.47,70.04,Paid
36,3,31,14,2,20231031,2023-10-31,2023-10-31,93.51,93.51,0,23.58,69.93,Paid
37,3,31,14,2,20231130,2023-11-30,2023-11-30,93.51,93.51,0,23.69,69.82,Paid
38,3,31,14,2,20231231,2023-12-31,2023-12-31,93.51,93.51,0,23.8,69.71,Paid
39,3,31,14,2,20240131,2024-01-31,2024-01-31,93.51,93.51,0,23.91,69.6,Paid
40,3,31,14,2,20240229,2024-02-29,2024-02-29,93.51,93.51,0,24.03,69.49,Paid
41,3,31,14,2,20240331,2024-03-31,2024-03-31,93.51,93.51,0,24.14,69.37,Paid
42,3,31,14,2,20240430,2024-04-30,2024-04-30,93.51,93.51,0,24.25,69.26,Paid
43,3,31,14,2,20240531,2024-05-31,2024-05-31,93.51,93.51,0,24.37,69.15,Paid
44,3,31,14,2,20240630,2024-06-30,2024-06-30,93.51,93.51,0,24.48,69.03,Paid
45,3,31,14,2,20240731,2024-07-31,2024-07-31,93.51,93.51,0,24.6,68.91,Paid
46,3,31,14,2,20240831,2024-08-31,2024-08-31,93.51,93.51,0,24.72,68.8,Paid
47,3,31,14,2,20240930,2024-09-30,2024-09-30,93.51,93.51,0,24.83,68.68,Paid
48,3,31,14,2,20241031,2024-10-31,2024-11-05,93.51,93.51,5,24.95,68.57,Paid
49,3,31,14,2,20241130,2024-11-30,2024-11-30,93.51,93.51,0,25.07,68.45,Paid
50,3,31,14,2,20241231,2024-12-31,2024-12-31,93.51,93.51,0,25.18,68.33,Paid
51,3,31,14,2,20250131,2025-01-31,2025-01-31,93.51,93.51,0,25.3,68.21,Paid
52,3,31,14,2,20250228,2025-02-28,2025-02-28,93.51,93.51,0,25.42,68.09,Paid
53,4,33,14,2,20240331,2024-03-31,2024-03-31,17948.27,17948.27,0,13008.81,4939.46,Paid
54,4,33,14,2,20240430,2024-04-30,2024-05-05,17948.27,17948.27,5,13125.64,4822.63,Paid
55,4,33,14,2,20240531,2024-05-31,2024-05-31,17948.27,17948.27,0,13243.52,4704.75,Paid
56,4,33,14,2,20240630,2024-06-30,2024-06-30,17948.27,17948.27,0,13362.46,4585.81,Paid
