loan_id,account_id,customer_id,institution_id,branch_id,product_id,origination_date,close_date,original_principal,annual_interest_rate,term_months,scheduled_monthly_payment,loan_status
1,6,3,4,132,10,2025-09-29,,150000.0,0.047,300,850.64,Current
2,15,7,6,209,12,2021-11-20,2024-01-18,35000.0,0.1046,36,1136.87,Current
3,31,14,2,63,11,2023-03-02,,15000.0,0.0566,300,93.51,Current
4,33,14,2,61,12,2024-03-12,,550000.0,0.1078,36,17948.27,Delinquent 30
5,41,18,5,178,10,2023-07-19,,15000.0,0.0622,300,98.65,Current
6,43,19,2,81,13,2025-03-26,,35000.0,0.0882,48,868.0,Current
7,46,22,1,6,12,2025-04-09,,35000.0,0.092,120,447.09,Current
8,61,29,4,145,12,2025-06-04,,15000.0,0.0922,48,374.87,Current
9,80,35,4,151,11,2025-07-27,,350000.0,0.0784,300,2664.08,Current
10,116,54,5,201,11,2024-07-24,,35000.0,0.0595,300,224.47,Delinquent 30
11,126,58,2,84,11,2024-11-12,2025-01-26,550000.0,0.0583,300,3485.6,Current
12,127,58,4,152,12,2023-01-09,,350000.0,0.0982,84,5778.43,Current
13,145,66,4,138,10,2020-12-22,,350000.0,0.0609,300,2275.3,Charged Off
14,157,73,2,72,12,2023-08-27,,35000.0,0.0961,36,1122.99,Current
15,160,74,1,12,12,2023-10-04,,150000.0,0.0861,36,4743.06,Delinquent 30
16,170,80,1,17,10,2022-10-07,,25000.0,0.0523,300,149.57,Current
17,174,81,6,216,11,2025-10-10,,65000.0,0.0477,300,371.25,Current
18,188,90,2,47,10,2023-01-10,,35000.0,0.0488,300,202.25,Current
19,190,91,4,168,12,2025-10-29,,350000.0,0.0862,60,7200.74,Current
20,218,107,4,157,12,2021-10-23,,35000.0,0.0948,120,452.5,Current
21,226,111,3,93,13,2024-07-18,,25000.0,0.0747,60,500.61,Current
22,240,118,4,167,12,2023-11-17,,350000.0,0.0855,120,4349.37,Current
23,260,127,3,129,10,2021-01-18,,550000.0,0.0637,300,3668.14,Current
24,272,130,3,97,10,2024-09-07,,350000.0,0.0611,300,2277.99,Current
25,275,132,3,106,10,2023-03-12,,350000.0,0.0605,300,2265.73,Current
26,277,133,4,148,11,2025-11-27,,65000.0,0.0679,300,450.65,Current
27,283,135,5,201,10,2025-03-04,,65000.0,0.0558,300,402.44,Current
28,294,141,4,146,12,2024-08-15,,35000.0,0.1101,120,482.37,Current
29,299,143,3,125,13,2023-02-01,,35000.0,0.0827,48,858.9,Current
30,315,151,5,198,12,2022-07-08,,15000.0,0.0913,120,191.08,Delinquent 90+
31,325,156,1,42,13,2022-09-25,,65000.0,0.0872,84,1036.42,Current
32,334,159,4,169,12,2025-04-05,,350000.0,0.0982,48,8847.22,Current
33,339,161,1,10,10,2021-03-21,,25000.0,0.0507,300,147.22,Current
34,346,166,2,61,10,2025-03-09,,550000.0,0.0425,300,2979.56,Current
35,350,168,1,31,13,2022-10-16,,65000.0,0.0841,120,802.65,Current
36,357,171,5,197,13,2023-11-01,,350000.0,0.0697,120,4059.18,Delinquent 60
37,361,175,5,181,13,2023-04-23,,65000.0,0.1006,84,1081.05,Current
38,374,180,4,166,12,2024-07-26,,35000.0,0.1011,48,889.61,Delinquent 30
39,402,192,1,15,10,2023-01-25,,350000.0,0.0612,300,2281.84,Current
40,408,196,3,99,10,2024-06-17,,35000.0,0.0522,300,209.17,Current
41,417,200,4,159,13,2025-09-16,,15000.0,0.0746,120,177.71,Current
42,423,203,3,122,12,2024-01-27,,15000.0,0.0998,60,318.58,Current
43,437,210,4,168,13,2025-04-08,,25000.0,0.089,36,793.87,Delinquent 30
44,443,212,3,111,13,2023-05-20,,25000.0,0.0794,84,388.94,Current
45,445,213,1,35,13,2024-02-11,,350000.0,0.0933,84,5690.61,Current
46,448,214,5,196,12,2021-09-20,,35000.0,0.1117,60,764.03,Current
47,449,215,4,155,13,2025-09-22,,150000.0,0.0846,60,3074.47,Current
48,460,221,3,92,10,2022-10-14,,150000.0,0.0603,300,969.45,Current
49,461,221,2,80,11,2022-05-29,,25000.0,0.0665,300,171.22,Current
50,475,227,2,52,12,2020-06-18,,35000.0,0.0988,120,460.19,Current
51,478,229,4,149,12,2022-12-31,,65000.0,0.1097,60,1412.18,Paid Off
52,480,229,1,1,11,2023-03-16,,15000.0,0.0585,300,95.29,Current
53,486,232,6,222,11,2025-03-16,,15000.0,0.0641,300,100.47,Delinquent 60
54,488,233,2,64,11,2024-06-13,,350000.0,0.0696,300,2463.93,Current
55,489,233,5,183,10,2023-05-27,,550000.0,0.0439,300,3023.79,Delinquent 30
56,491,234,1,37,13,2025-03-26,,25000.0,0.0681,60,492.77,Current
57,498,239,1,18,13,2025-02-08,,25000.0,0.0947,84,408.26,Current
58,511,245,1,18,10,2024-05-17,,25000.0,0.0484,300,143.82,Current
59,512,246,2,86,12,2024-06-13,,35000.0,0.104,60,750.51,Current
60,516,247,5,186,12,2025-05-11,,35000.0,0.1073,60,756.37,Delinquent 30
61,523,250,5,195,11,2020-12-24,,350000.0,0.0562,300,2174.82,Current
62,528,252,5,174,10,2022-12-28,,15000.0,0.0567,300,93.66,Current
63,534,254,5,192,13,2025-05-28,,15000.0,0.0849,84,237.49,Current
64,544,257,4,152,11,2022-10-26,,35000.0,0.0676,300,242.04,Current
65,553,262,4,163,12,2025-06-14,,350000.0,0.0969,48,8824.21,Current
66,585,278,2,66,12,2024-11-10,,150000.0,0.0983,60,3174.47,Current
67,588,279,2,71,12,2022-07-21,2023-09-26,65000.0,0.0825,60,1325.64,Paid Off
68,602,287,5,199,11,2023-09-02,,35000.0,0.0619,300,229.64,Current
69,613,292,6,224,12,2023-03-12,,35000.0,0.1058,120,473.83,Current
70,623,299,3,109,11,2023-06-17,,35000.0,0.0675,300,241.8,Current
71,630,304,2,49,12,2022-01-21,,65000.0,0.105,48,1664.36,Current
72,635,308,1,22,12,2023-07-30,,65000.0,0.0875,36,2059.49,Paid Off
73,643,310,1,21,10,2024-08-24,,150000.0,0.0535,300,907.92,Current
74,651,315,1,42,13,2021-03-17,,65000.0,0.0843,120,803.41,Paid Off
75,655,316,4,163,10,2025-05-23,,65000.0,0.0494,300,377.65,Current
76,658,317,4,169,10,2024-12-27,,350000.0,0.0557,300,2164.5,Current
77,676,325,4,157,11,2024-06-09,,550000.0,0.0567,300,3433.06,Delinquent 60
78,682,328,2,65,11,2025-05-19,,350000.0,0.0546,300,2141.84,Delinquent 90+
79,685,330,4,159,13,2022-11-15,,150000.0,0.0771,36,4680.14,Current
80,688,331,3,118,12,2023-11-29,,15000.0,0.0965,60,316.11,Delinquent 90+
81,691,332,4,140,11,2024-07-17,2025-01-28,15000.0,0.0535,300,90.81,Paid Off
82,698,335,2,73,13,2023-02-09,,35000.0,0.0837,36,1102.75,Current
83,699,335,3,117,12,2023-06-11,,150000.0,0.098,36,4826.16,Current
84,710,340,1,30,11,2022-12-30,,350000.0,0.0572,300,2196.14,Current
85,711,340,6,219,12,2022-10-25,,150000.0,0.0994,60,3182.88,Current
