service_request_id,service_request_number,customer_id,account_id,institution_id,branch_id,created_date,request_type,priority,sla_target_hours,resolution_hours,sla_breached_flag,request_status,request_channel
1,SR-00000001,991,2030,4,163,2023-09-19,Account Maintenance,Medium,48,65.8,True,Resolved,Online Banking
2,SR-00000002,4979,10213,3,91,2024-10-20,Account Maintenance,Urgent,8,3.1,False,Resolved,Mobile App
3,SR-00000003,2078,4247,5,208,2024-04-13,Digital Banking Support,Medium,48,34.6,False,Resolved,Mobile App
4,SR-00000004,3813,7800,6,213,2025-04-21,Fraud Support,Low,72,23.9,False,Resolved,Phone
5,SR-00000005,6142,12633,6,220,2024-01-27,Investment Inquiry,Low,72,144.6,True,Resolved,Branch
6,SR-00000006,4288,8767,5,198,2024-09-21,Card Replacement,Medium,48,45.1,False,Resolved,Branch
7,SR-00000007,4678,9590,4,138,2023-11-19,Account Maintenance,Medium,48,226.4,True,Resolved,Branch
8,SR-00000008,6503,13355,2,82,2024-06-21,Account Maintenance,Urgent,8,8.2,True,Resolved,Mobile App
9,SR-00000009,187,391,3,120,2025-12-11,Account Maintenance,Medium,48,49.7,True,Escalated,Online Banking
10,SR-00000010,2028,4152,6,222,2023-08-22,Complaint,Low,72,40.3,False,Resolved,Phone
11,SR-00000011,4061,8306,5,201,2023-12-22,Investment Inquiry,High,24,19.1,False,Resolved,Mobile App
12,SR-00000012,5452,11193,3,114,2024-06-11,Digital Banking Support,Urgent,8,3.0,False,Resolved,Phone
13,SR-00000013,6147,12646,5,190,2023-02-07,Card Replacement,Medium,48,42.7,False,Resolved,Mobile App
14,SR-00000014,2641,5377,5,197,2024-04-29,Fraud Support,Medium,48,28.6,False,Resolved,Mobile App
15,SR-00000015,2497,5089,4,147,2024-12-26,Digital Banking Support,Medium,48,50.8,True,Resolved,Branch
16,SR-00000016,4788,9825,3,105,2024-04-08,Investment Inquiry,Low,72,49.5,False,Resolved,Email
17,SR-00000017,4191,8582,2,50,2025-08-07,Complaint,Medium,48,25.2,False,Resolved,Phone
18,SR-00000018,1714,3501,2,88,2025-03-06,Dispute,Low,72,56.9,False,Resolved,Branch
19,SR-00000019,1235,2541,3,115,2024-11-27,Complaint,High,24,64.7,True,Escalated,Phone
20,SR-00000020,5504,11299,2,78,2023-06-24,Digital Banking Support,Low,72,46.1,False,Open,Branch
21,SR-00000021,2451,5002,5,176,2025-03-16,Digital Banking Support,Low,72,54.1,False,Resolved,Branch
22,SR-00000022,3590,7320,3,105,2024-02-11,Digital Banking Support,Medium,48,31.3,False,Resolved,Phone
23,SR-00000023,4582,9390,1,2,2025-03-23,Complaint,Medium,48,35.4,False,Resolved,Branch
24,SR-00000024,3508,7164,1,24,2025-10-03,Card Replacement,Low,72,42.3,False,Resolved,Branch
25,SR-00000025,6564,13492,4,140,2024-03-17,Complaint,Medium,48,21.5,False,Resolved,Branch
26,SR-00000026,6288,12921,3,95,2023-02-15,Dispute,Low,72,44.1,False,Resolved,Mobile App
27,SR-00000027,6447,13243,1,22,2023-07-19,Card Replacement,Low,72,113.3,True,Resolved,Online Banking
28,SR-00000028,12,27,4,160,2024-09-10,Digital Banking Support,High,24,12.9,False,Resolved,Online Banking
29,SR-00000029,4466,9147,1,37,2024-08-19,Complaint,Low,72,16.2,False,Resolved,Phone
30,SR-00000030,5694,11670,2,82,2023-04-02,Mortgage Inquiry,High,24,19.1,False,Resolved,Online Banking
31,SR-00000031,1341,2769,4,163,2024-05-14,Dispute,Low,72,32.9,False,Resolved,Phone
32,SR-00000032,1798,3676,2,55,2023-06-06,Digital Banking Support,Medium,48,40.1,False,Open,Phone
33,SR-00000033,3884,7943,6,224,2023-03-24,Account Maintenance,Medium,48,13.1,False,Resolved,Phone
34,SR-00000034,4341,8874,2,85,2023-04-21,Complaint,Medium,48,29.3,False,Resolved,Branch
35,SR-00000035,104,211,1,1,2023-01-25,Digital Banking Support,Medium,48,10.7,False,Resolved,Phone
36,SR-00000036,3350,6840,2,84,2025-12-29,Mortgage Inquiry,Medium,48,74.4,True,Resolved,Branch
37,SR-00000037,2109,4314,2,56,2023-10-17,Digital Banking Support,High,24,21.4,False,Open,Online Banking
38,SR-00000038,422,872,4,136,2024-08-22,Digital Banking Support,Low,72,67.3,False,Closed Without Resolution,Mobile App
39,SR-00000039,5080,10424,3,112,2025-10-24,Mortgage Inquiry,Low,72,66.4,False,Resolved,Branch
40,SR-00000040,360,756,5,176,2024-03-31,Account Maintenance,High,24,19.0,False,Closed Without Resolution,Mobile App
41,SR-00000041,6953,14268,4,154,2025-04-10,Complaint,Medium,48,12.7,False,Resolved,Branch
42,SR-00000042,6027,12394,4,159,2024-04-05,Digital Banking Support,Low,72,56.3,False,Resolved,Branch
43,SR-00000043,6360,13064,2,79,2025-08-20,Digital Banking Support,High,24,15.7,False,Closed Without Resolution,Branch
44,SR-00000044,2169,4437,2,48,2025-09-30,Digital Banking Support,Low,72,54.9,False,Resolved,Branch
45,SR-00000045,728,1499,4,160,2025-01-12,Digital Banking Support,Low,72,62.5,False,Escalated,Branch
46,SR-00000046,3425,6991,4,165,2025-01-12,Dispute,Medium,48,20.0,False,Closed Without Resolution,Mobile App
47,SR-00000047,1222,2512,1,43,2023-04-06,Card Replacement,Low,72,17.8,False,Resolved,Online Banking
48,SR-00000048,6753,13861,4,137,2023-12-25,Dispute,Low,72,113.7,True,Resolved,Online Banking
49,SR-00000049,381,795,3,128,2023-03-21,Dispute,High,24,16.4,False,Resolved,Phone
50,SR-00000050,6592,13547,4,136,2023-02-01,Dispute,Medium,48,25.0,False,Resolved,Online Banking
51,SR-00000051,5117,10506,2,76,2024-04-09,Card Replacement,Medium,48,27.0,False,Resolved,Phone
52,SR-00000052,6627,13620,2,85,2024-02-22,Digital Banking Support,Medium,48,16.8,False,Resolved,Mobile App
53,SR-00000053,2408,4915,3,105,2024-01-24,Fraud Support,Medium,48,41.0,False,Resolved,Branch
54,SR-00000054,4649,9524,3,120,2024-05-28,Dispute,High,24,17.5,False,Resolved,Mobile App
55,SR-00000055,2643,5383,2,71,2024-03-14,Fraud Support,Medium,48,34.2,False,Resolved,Email
56,SR-00000056,6006,12350,2,74,2024-10-14,Investment Inquiry,Medium,48,36.5,False,Resolved,Phone
57,SR-00000057,2153,4402,1,10,2024-05-30,Complaint,Medium,48,52.5,True,Resolved,Branch
58,SR-00000058,2164,4425,1,42,2023-05-03,Account Maintenance,Low,72,130.8,True,Closed Without Resolution,Online Banking
59,SR-00000059,4639,9504,1,6,2024-12-05,Dispute,Medium,48,14.2,False,Closed Without Resolution,Online Banking
60,SR-00000060,284,595,3,116,2025-08-15,Card Replacement,Low,72,126.5,True,Resolved,Mobile App
61,SR-00000061,5234,10747,4,145,2024-01-31,Dispute,Low,72,92.1,True,Open,Phone
62,SR-00000062,780,1611,5,196,2023-01-20,Complaint,Low,72,99.3,True,Resolved,Mobile App
63,SR-00000063,3987,8157,1,29,2025-09-06,Fraud Support,Medium,48,68.3,True,Resolved,Phone
64,SR-00000064,5920,12169,3,96,2025-06-25,Dispute,Urgent,8,6.8,False,Resolved,Online Banking
65,SR-00000065,2440,4977,5,206,2025-06-28,Account Maintenance,Low,72,35.2,False,Resolved,Branch
66,SR-00000066,5813,11928,5,179,2024-03-16,Complaint,Medium,48,73.3,True,Resolved,Phone
67,SR-00000067,5461,11215,1,42,2023-02-20,Investment Inquiry,Low,72,68.4,False,Resolved,Phone
68,SR-00000068,3343,6826,6,221,2024-10-30,Dispute,Medium,48,58.4,True,Resolved,Phone
69,SR-00000069,6238,12835,2,66,2024-09-16,Mortgage Inquiry,Low,72,88.7,True,Open,Online Banking
70,SR-00000070,5475,11243,4,140,2023-02-26,Digital Banking Support,Medium,48,44.7,False,Resolved,Branch
71,SR-00000071,4877,10007,5,185,2024-01-06,Investment Inquiry,High,24,36.0,True,Resolved,Mobile App
72,SR-00000072,2237,4571,2,66,2023-02-13,Dispute,Low,72,59.5,False,Resolved,Phone
73,SR-00000073,2503,5101,4,155,2025-10-24,Digital Banking Support,Low,72,99.0,True,Resolved,Branch
74,SR-00000074,1929,3952,5,174,2025-09-29,Mortgage Inquiry,Low,72,71.4,False,Resolved,Online Banking
75,SR-00000075,1874,3841,2,53,2025-11-04,Card Replacement,Medium,48,27.6,False,Resolved,Email
76,SR-00000076,6153,12658,5,176,2023-10-31,Digital Banking Support,Medium,48,93.3,True,Resolved,Phone
77,SR-00000077,2404,4905,2,76,2023-03-30,Digital Banking Support,Medium,48,26.1,False,Resolved,Branch
78,SR-00000078,5506,11305,3,113,2025-05-03,Fraud Support,Low,72,98.9,True,Resolved,Online Banking
79,SR-00000079,277,583,4,165,2024-05-07,Digital Banking Support,Medium,48,86.0,True,Resolved,Mobile App
80,SR-00000080,5247,10771,5,174,2023-10-12,Account Maintenance,High,24,14.9,False,Resolved,Phone
81,SR-00000081,3406,6953,5,199,2023-07-30,Mortgage Inquiry,Low,72,18.0,False,Resolved,Mobile App
82,SR-00000082,3629,7403,3,119,2024-08-11,Card Replacement,Low,72,73.4,True,Resolved,Mobile App
